Nome,Squadra,Ruolo
Aboukhlal,Torino,A
Acerbi,Inter,D
Adams,Torino,A
Addai,Como,C
Adopo,Cagliari,C
Adzic,Juventus,C
Aebischer,Pisa,C
Agbonifo,Inter,C
Ahanor,Atalanta,D
Ajayi,Verona,A
Akanji,Inter,D
Akinsanmiro,Pisa,C
Akpa-Akpro,Verona,C
Al-Musrati,Verona,C
Albiol,Pisa,D
Alex Sala,Lecce,C
Alex Valle,Como,D
Alexiou,Inter,D
Almqvist,Parma,A
Ambrosino,Napoli,A
Amin Sarr,Verona,A
Angelino,Roma,D
Anghele,Juventus,A
Angori,Pisa,D
Anguissa,Napoli,C
Anjorin,Torino,C
Asllani,Torino,C
Assane Diao,Como,C
Athekame,Milan,D
Atta,Udinese,C
Audero,Cremonese,P
Bailey,Roma,C
Bakker,Atalanta,D
Baldanzi,Roma,C
Balentien,Milan,A
Banda,Lecce,A
Barbieri,Cremonese,D
Barella,Inter,C
Bartesaghi,Milan,D
Baschirotto,Cremonese,D
Basic,Lazio,C
Bastoni,Inter,D
Baturina,Como,C
Bayo,Udinese,A
Begic,Parma,C
Belahyane,Lazio,C
Belghali,Verona,D
Bella-Kotchap,Verona,D
Bellanova,Atalanta,D
Belotti,Cagliari,A
Benedyczak,Parma,A
Berardi,Sassuolo,A
Berenbruch,Inter,C
Berisha M,Lecce,C
Bernabe',Parma,C
Bernardeschi,Bologna,C
Bernasconi,Atalanta,C
Bernede,Verona,C
Bertola,Udinese,D
Beukema,Napoli,D
Bianchetti,Cremonese,D
Biraghi,Torino,D
Bisseck,Inter,D
Boloca,Sassuolo,C
Bonazzoli,Cremonese,A
Bondo,Cremonese,C
Bonfanti,Pisa,D
Bonifazi,Bologna,D
Bonny,Inter,A
Borrelli,Cagliari,A
Bove,Roma,C
Bradaric D,Verona,D
Bremer,Juventus,D
Brescianini,Atalanta,C
Britschgi,Parma,D
Buffon L,Pisa,A
Buksa A,Udinese,A
Buongiorno,Napoli,D
Butez,Como,P
Cabal,Juventus,D
Calabresi,Pisa,D
Calhanoglu,Inter,C
Calligaris,Inter,P
Camarda,Lecce,A
Cambiaghi,Bologna,A
Cambiaso,Juventus,D
Cancellieri,Lazio,A
Cande,Sassuolo,D
Canestrelli,Pisa,D
Caprile,Cagliari,P
Caqueret,Como,C
Caracciolo A,Pisa,D
Carboni V,Genoa,C
Carlos Augusto,Inter,D
Carnesecchi,Atalanta,P
Casadei,Torino,C
Casale,Bologna,D
Cassa,Atalanta,C
Castellanos,Lazio,A
Castro S,Bologna,A
Cataldi,Lazio,C
Caviglia,Fiorentina,C
Cavlina,Como,P
Cavuoti,Cagliari,C
Ceccherini,Cremonese,D
Celik,Roma,D
Cerri,Como,A
Cham,Verona,D
Cheddira,Sassuolo,A
Ciocci,Cagliari,P
Circati,Parma,D
Cittadini,Atalanta,D
Cocchi,Inter,D
Coco S,Torino,D
Collocolo,Cremonese,C
Colombo,Genoa,A
Comuzzo,Fiorentina,D
Conceicao,Juventus,C
Contini,Napoli,P
Coppola Fr,Pisa,D
Cornet,Genoa,C
Corvi,Parma,P
Coulibaly L,Lecce,C
Coulibaly W,Sassuolo,D
Crapisto,Juventus,C
Cremaschi,Parma,C
Cristante,Roma,C
Cuadrado,Pisa,D
Cuenca,Genoa,C
Cutrone,Parma,A
Da Cunha,Como,C
Dallinga,Bologna,A
Danilo Veiga,Lecce,D
Darmian,Inter,D
David,Juventus,A
Davis,Udinese,A
De Bruyne,Napoli,C
De Gea,Fiorentina,P
De Ketelaere,Atalanta,C
De Luca,Cremonese,A
De Roon,Atalanta,C
De Silvestri,Bologna,D
De Vrij,Inter,D
De Winter,Milan,D
Deiola,Cagliari,C
Dele Bashiru,Lazio,C
Delle Monache,Lecce,A
Delprato,Parma,D
Dembele A,Torino,D
Denoon,Pisa,D
Di Gennaro R,Inter,P
Di Gregorio,Juventus,P
Di Lorenzo,Napoli,D
Di Pardo,Cagliari,D
Dia,Lazio,A
Diego Carlos,Como,D
Dimarco,Inter,D
Diouf A,Inter,C
Djimsiti,Atalanta,D
Djuric,Parma,A
Dodo D,Fiorentina,D
Doig,Sassuolo,D
Dominguez B,Bologna,C
Dossena A,Como,D
Douvikas,Como,A
Dovbyk,Roma,A
Dumfries,Inter,D
Dybala,Roma,A
Dzeko,Fiorentina,A
Ebosse,Verona,D
Ederson J,Atalanta,C
Ehizibue,Udinese,D
Ekhator,Genoa,A
Ekkelenkamp,Udinese,C
Ekuban,Genoa,A
El Aynaoui,Roma,C
El Shaarawy,Roma,A
Ellertsson,Genoa,C
Elmas,Napoli,C
Esposito F,Inter,A
Esposito S,Cagliari,A
Esteves T,Pisa,D
Estevez,Parma,C
Estupinan,Milan,D
Fabbian,Bologna,C
Fadera,Sassuolo,C
